,train_acc,Test_acc
Logistic_Loan,0.6961206896551724,0.7368421052631579
KNN_Loan,0.8146551724137931,0.7605263157894737
DT_Loan,0.7219827586206896,0.7210526315789474
RF_Loan,0.8663793103448276,0.781578947368421
